INFO 2026-06-06 14:42:38,588 log 11236 14852 "POST /api/auth/login/ HTTP/1.1" 200 665
INFO 2026-06-06 14:42:39,026 log 11236 14852 "OPTIONS /api/placements/dashboard/ HTTP/1.1" 200 0
INFO 2026-06-06 14:42:39,037 log 11236 12988 "OPTIONS /api/logbook/dashboard/ HTTP/1.1" 200 0
INFO 2026-06-06 14:42:39,038 log 11236 14852 "OPTIONS /api/logbook/dashboard/ HTTP/1.1" 200 0
ERROR 2026-06-06 14:42:39,234 log 11236 12988 Internal Server Error: /api/placements/dashboard/
ERROR 2026-06-06 14:42:39,235 log 11236 12988 "GET /api/placements/dashboard/ HTTP/1.1" 500 72
ERROR 2026-06-06 14:42:39,264 log 11236 12988 Internal Server Error: /api/placements/dashboard/
ERROR 2026-06-06 14:42:39,265 log 11236 12988 "GET /api/placements/dashboard/ HTTP/1.1" 500 72
WARNING 2026-06-06 14:42:39,695 log 11236 14852 Not Found: /api/logbook/dashboard/
WARNING 2026-06-06 14:42:39,712 log 11236 14852 "GET /api/logbook/dashboard/ HTTP/1.1" 404 5430
WARNING 2026-06-06 14:42:39,731 log 11236 12988 Not Found: /api/logbook/dashboard/
WARNING 2026-06-06 14:42:39,738 log 11236 12988 "GET /api/logbook/dashboard/ HTTP/1.1" 404 5430
INFO 2026-06-06 21:55:46,528 log 11236 12600 "OPTIONS /api/logbook/dashboard/ HTTP/1.1" 200 0
INFO 2026-06-06 21:55:46,554 log 11236 19352 "OPTIONS /api/placements/dashboard/ HTTP/1.1" 200 0
INFO 2026-06-06 21:55:46,563 log 11236 2616 "OPTIONS /api/placements/dashboard/ HTTP/1.1" 200 0
INFO 2026-06-06 21:55:46,563 log 11236 8304 "OPTIONS /api/logbook/dashboard/ HTTP/1.1" 200 0
WARNING 2026-06-06 21:55:47,283 log 11236 8304 Not Found: /api/logbook/dashboard/
